benchmark,config,status,solved,sat,unsat,noproperty,best,time_cpu,memory
array-examples/standard_copy9_ground-2.yml,uautomizer_bitprecise,to,0,0,0,0,0,901.0,646.7
array-examples/standard_copy9_ground-2.yml,uautomizer_default,to,0,0,0,0,0,900.9,750.2
array-examples/standard_copyInitSum2_ground-1.yml,cbmc_default,mo,0,0,0,0,0,148.1,15000.0
array-examples/standard_copyInitSum2_ground-1.yml,esbmc_default,to,0,0,0,0,0,901.0,3125.5
array-examples/standard_copyInitSum2_ground-1.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.6,983.1
array-examples/standard_copyInitSum2_ground-1.yml,uautomizer_default,to,0,0,0,0,0,900.8,1064.9
array-examples/standard_copyInitSum2_ground-2.yml,cbmc_default,mo,0,0,0,0,0,150.1,15000.0
array-examples/standard_copyInitSum2_ground-2.yml,esbmc_default,to,0,0,0,0,0,901.1,3425.1
array-examples/standard_copyInitSum2_ground-2.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.5,1562.9
array-examples/standard_copyInitSum2_ground-2.yml,uautomizer_default,to,0,0,0,0,0,900.8,941.6
array-examples/standard_copyInitSum3_ground.yml,cbmc_default,mo,0,0,0,0,0,172.3,15000.0
array-examples/standard_copyInitSum3_ground.yml,esbmc_default,to,0,0,0,0,0,901.1,4179.2
